payment_id,contract_id,payment_date,amount
P0001,C0037,2024-12-25,450.00
P0002,C0121,2024-12-25,1255.00
P0003,C0122,2024-12-25,500.00
P0004,C0163,2024-12-25,2025.00
P0005,C0169,2024-12-25,885.00
P0006,C0198,2024-12-25,1165.00
P0007,C0222,2024-12-25,1280.00
P0008,C0241,2024-12-25,1710.00
P0009,C0259,2024-12-25,1485.00
P0010,C0317,2024-12-25,695.00
P0011,C0351,2024-12-25,1105.00
P0012,C0355,2024-12-25,605.00
P0013,C0364,2024-12-25,1095.00
P0014,C0381,2024-12-25,975.00
P0015,C0418,2024-12-25,365.00
P0016,C0427,2024-12-25,345.00
P0017,C0075,2024-12-26,520.00
P0018,C0117,2024-12-26,1340.00
P0019,C0124,2024-12-26,950.00
P0020,C0161,2024-12-26,1125.00
P0021,C0174,2024-12-26,1110.00
P0022,C0186,2024-12-26,1155.00
P0023,C0235,2024-12-26,1125.00
P0024,C0251,2024-12-26,1205.00
P0025,C0297,2024-12-26,815.00
P0026,C0311,2024-12-26,570.00
P0027,C0322,2024-12-26,1140.00
P0028,C0331,2024-12-26,380.00
P0029,C0387,2024-12-26,1310.00
P0030,C0015,2024-12-27,1025.00
P0031,C0042,2024-12-27,1275.00
P0032,C0044,2024-12-27,1290.00
P0033,C0047,2024-12-27,475.00
P0034,C0067,2024-12-27,300.00
P0035,C0086,2024-12-27,410.00
P0036,C0099,2024-12-27,280.00
P0037,C0130,2024-12-27,815.00
P0038,C0145,2024-12-27,1810.00
P0039,C0173,2024-12-27,435.00
P0040,C0176,2024-12-27,1615.00
P0041,C0181,2024-12-27,1050.00
P0042,C0192,2024-12-27,740.00
P0043,C0267,2024-12-27,720.00
P0044,C0284,2024-12-27,490.00
P0045,C0306,2024-12-27,980.00
P0046,C0309,2024-12-27,820.00
P0047,C0408,2024-12-27,730.00
P0048,C0419,2024-12-27,680.00
P0049,C0449,2024-12-27,910.00
P0050,C0018,2024-12-28,760.00
P0051,C0045,2024-12-28,1650.00
P0052,C0095,2024-12-28,810.00
P0053,C0125,2024-12-28,1270.00
P0054,C0159,2024-12-28,975.00
P0055,C0185,2024-12-28,625.00
P0056,C0196,2024-12-28,1135.00
P0057,C0214,2024-12-28,975.00
P0058,C0220,2024-12-28,1710.00
P0059,C0249,2024-12-28,1255.00
P0060,C0264,2024-12-28,940.00
P0061,C0319,2024-12-28,1590.00
P0062,C0324,2024-12-28,425.00
P0063,C0325,2024-12-28,1960.00
P0064,C0352,2024-12-28,1310.00
P0065,C0356,2024-12-28,510.00
P0066,C0370,2024-12-28,1140.00
